Date,Station Name,Type,Latitude,Longitude,System,Private Partner,Public Partner,Borough,Census Tract,Phase,Data Collected,Average Radius of Connection (ft),year
2013-07-31,Baisley Pond Park,Outdoor TWC Aerial,40.6748599999,-73.7841200005,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,294,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-31,Kissena Park,Outdoor TWC Aerial,40.7475599996,-73.8181499997,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,845,NA,"Device mac address, IP address, Browsing History",150,2013
2017-12-30,Grand St (L),Subway Station,40.7119259997,-73.9406699994,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),3,495,NA,"Device mac address, IP address, Browsing History",150,2017
2014-03-14,125 Court St.,Outdoor,40.6899850001,-73.9919950004,Wifi Hotspots,Downtown Brooklyn,Office of Technology and Innovation (OTI),3,9,NA,"Device mac address, IP address, Browsing History",150,2014
2017-12-30,Lexington Av-63 St (F),Subway Station,40.7646300002,-73.9661150001,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,120,NA,"Device mac address, IP address, Browsing History",150,2017
2013-07-31,Kissena Park,Outdoor TWC Aerial,40.7424300003,-73.8115100003,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,1215,NA,"Device mac address, IP address, Browsing History",150,2013
2014-05-30,Pole 94 - LenWS1N133,Outdoor,40.812944,-73.9416929996,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,212,NA,"Device mac address, IP address, Browsing History",150,2014
2014-12-30,Clinton Hill - Brooklyn Public Library,Library,40.6873790941,-73.966030666,Wifi Hotspots,BPL,Brooklyn Public Library (BPL),3,197,NA,"Device mac address, IP address, Browsing History",150,2014
2017-12-30,Halsey St (L),Subway Station,40.6956020001,-73.9040840004,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),4,555,NA,"Device mac address, IP address, Browsing History",150,2017
2017-12-30,"Broadway Junction (A,C,J,L,Z)",Subway Station,40.6783340002,-73.9053160001,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),3,367,NA,"Device mac address, IP address, Browsing History",150,2017
2013-07-30,Crotona Park,Outdoor,40.8406639999,-73.8983720002,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,167,NA,"Device mac address, IP address, Browsing History",150,2013
2018-05-01,Governors Island,Outdoor,40.6903899996,-74.0199599995,Wifi Hotspots,Fiberless,Office of Technology and Innovation (OTI),1,5,NA,"Device mac address, IP address, Browsing History",150,2018
2014-05-30,pole 51n - 131NWC5th,Outdoor,40.81026,-73.9395100003,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,208,NA,"Device mac address, IP address, Browsing History",150,2014
2014-12-30,Saratoga - Brooklyn Public Library,Library,40.6848100477,-73.915132416,Wifi Hotspots,BPL,Brooklyn Public Library (BPL),3,373,NA,"Device mac address, IP address, Browsing History",150,2014
2013-07-30,MARIA HERNANDEZ,Outdoor,40.7025399998,-73.9238159997,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,429,NA,"Device mac address, IP address, Browsing History",150,2013
2011-06-12,23,Outdoor,40.7015990998,-74.0093001995,Wifi Hotspots,Manhattan Down Alliance,Office of Technology and Innovation (OTI),1,9,NA,"Device mac address, IP address, Browsing History",150,2011
2017-12-30,"7 Av (B,Q)",Subway Station,40.67705,-73.9723670001,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),3,161,NA,"Device mac address, IP address, Browsing History",150,2017
2014-12-30,Red Hook - Brooklyn Public Library,Library,40.6752551911,-74.0103512916,Wifi Hotspots,BPL,Brooklyn Public Library (BPL),3,53,NA,"Device mac address, IP address, Browsing History",150,2014
2013-07-30,MARIA HERNANDEZ,Outdoor,40.7033079996,-73.9240869998,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,429,NA,"Device mac address, IP address, Browsing History",150,2013
2011-06-12,Marcus Garvey Park,Outdoor,40.8048000002,-73.9443,Wifi Hotspots,AT&T,Office of Technology and Innovation (OTI),1,198,NA,"Device mac address, IP address, Browsing History",150,2011
2013-07-30,Ferry Point Park,Outdoor,40.818752,-73.82456,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,110,NA,"Device mac address, IP address, Browsing History",150,2013
2003-12-12,Roosevelt Island,Library,40.7612533724,-73.9501658898,Wifi Hotspots,NYPL,New York Public Library (NPL),1,23801,NA,"Device mac address, IP address, Browsing History",150,2003
2014-03-14,110 Livingston St.,Outdoor,40.6908829998,-73.9896349995,Wifi Hotspots,Downtown Brooklyn,Office of Technology and Innovation (OTI),3,9,NA,"Device mac address, IP address, Browsing History",150,2014
2014-03-14,254 Flatbush Ave. Extension (pole),Outdoor,40.6927230002,-73.9830250002,Wifi Hotspots,Downtown Brooklyn,Office of Technology and Innovation (OTI),3,15,NA,"Device mac address, IP address, Browsing History",150,2014
2017-12-30,"Court St (M,R)/Borough Hall (2,3,4,5)",Subway Station,40.6932189996,-73.9899979996,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),3,11,NA,"Device mac address, IP address, Browsing History",150,2017
2018-09-20,Pelham Fritz Recreation Center,Indoor,40.8050129997,-73.9449089999,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),1,198,NA,"Device mac address, IP address, Browsing History",150,2018
2017-12-30,"Central Park North-110 St (2,3)",Subway Station,40.7990749998,-73.9518220006,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,186,NA,"Device mac address, IP address, Browsing History",150,2017
2018-09-20,West Harlem Piers,Outdoor,40.8205899999,-73.9596899999,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),1,22302,NA,"Device mac address, IP address, Browsing History",150,2018
2003-12-12,Bronx Library Center,Library,40.8629806052,-73.8945028865,Wifi Hotspots,NYPL,New York Public Library (NPL),2,39901,NA,"Device mac address, IP address, Browsing History",150,2003
2022-09-30,50 Monument Walk,Outdoor,40.695295,-73.9801031998,Wifi Hotspots,NYCHA,New York City Housing Authority (NYCHA),3,2901,NA,"Device mac address, IP address, Browsing History",150,2022
2003-12-12,Woodlawn Heights,Library,40.9004399098,-73.867942,Wifi Hotspots,NYPL,New York Public Library (NPL),2,44902,NA,"Device mac address, IP address, Browsing History",150,2003
2013-01-30,10th between 15th and 16th,Outdoor,40.7431927759,-74.0073877576,Wifi Hotspots,Google,Office of Technology and Innovation (OTI),1,83,NA,"Device mac address, IP address, Browsing History",150,2013
2017-12-30,"Times Square - 1, 2, 3",Subway Station,40.75529,-73.9874950005,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,113,NA,"Device mac address, IP address, Browsing History",150,2017
2018-09-20,Jackie Robinson Recreation Center,Indoor,40.8241309998,-73.9424640006,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),1,231,NA,"Device mac address, IP address, Browsing History",150,2018
2013-07-31,"Phil ""Scooter"" Rizzuto Park",Outdoor TWC Aerial,40.6950769996,-73.8228169995,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,148,NA,"Device mac address, IP address, Browsing History",150,2013
